1735689600000000,93576.00000000,93610.93000000,93537.50000000,93610.93000000,8.21827000,1735689659999999,768978.75522470,2631,3.95157000,369757.32652890,0
1735689660000000,93610.93000000,93652.00000000,93606.20000000,93652.00000000,12.14029000,1735689719999999,1136550.56817500,1273,4.08887000,382791.50017200,0
1735689720000000,93652.00000000,93702.15000000,93635.98000000,93702.15000000,11.60597000,1735689779999999,1087100.82446340,1095,5.86840000,549682.86857020,0
1735689780000000,93702.14000000,93702.15000000,93654.48000000,93677.98000000,8.72958000,1735689839999999,817720.30727880,1461,2.48203000,232486.11308000,0
1735689840000000,93677.98000000,93677.99000000,93659.92000000,93661.20000000,5.24749000,1735689899999999,491557.02867860,988,0.48880000,45786.25196310,0
1735689900000000,93661.20000000,93678.02000000,93661.20000000,93678.01000000,5.08788000,1735689959999999,476601.54297060,382,4.53644000,424947.26729440,0
1735689960000000,93678.01000000,93678.02000000,93600.00000000,93632.05000000,30.37050000,1735690019999999,2843671.63338830,1787,2.16303000,202505.39160630,0
1735690020000000,93632.04000000,93634.27000000,93612.00000000,93612.01000000,13.39197000,1735690079999999,1253876.19202190,778,6.16177000,576920.90227370,0
1735690080000000,93612.00000000,93612.01000000,93604.86000000,93611.84000000,10.73540000,1735690139999999,1004932.14094010,767,2.18287000,204331.47215980,0
1735690140000000,93611.99000000,93611.99000000,93607.09000000,93607.10000000,12.36010000,1735690199999999,1157039.14483620,451,1.62350000,151975.25786850,0
1735690200000000,93607.10000000,93623.38000000,93536.52000000,93538.61000000,24.36023000,1735690259999999,2280121.65835790,1741,5.86797000,549266.66057770,0
1735690260000000,93538.61000000,93550.53000000,93489.03000000,93520.54000000,14.70534000,1735690319999999,1375269.78416290,2059,9.04052000,845465.36489510,0
1735690320000000,93520.54000000,93525.67000000,93489.05000000,93519.38000000,7.10384000,1735690379999999,664244.14729390,1753,4.06450000,380033.65517960,0
1735690380000000,93519.38000000,93554.14000000,93519.38000000,93544.49000000,4.51752000,1735690439999999,422564.49446390,1161,3.66851000,343147.68746670,0
1735690440000000,93544.50000000,93656.19000000,93544.50000000,93656.18000000,7.28235000,1735690499999999,681565.77809980,1461,7.01786000,656803.90702510,0
1735690500000000,93656.19000000,93719.50000000,93614.95000000,93702.27000000,6.99047000,1735690559999999,654739.23907410,1829,3.42389000,320720.32388820,0
1735690560000000,93702.27000000,93779.73000000,93702.26000000,93768.02000000,5.59192000,1735690619999999,524231.16664370,1784,4.34721000,407522.89158000,0
1735690620000000,93768.02000000,93827.32000000,93768.02000000,93827.31000000,9.80068000,1735690679999999,919348.72457040,1762,7.30034000,684797.42899090,0
1735690680000000,93827.31000000,93840.05000000,93800.00000000,93824.52000000,4.49902000,1735690739999999,422088.83852810,1597,2.30053000,215830.15010380,0
1735690740000000,93824.52000000,93829.12000000,93794.73000000,93796.35000000,12.86247000,1735690799999999,1206676.25024610,1059,1.46469000,137406.93884740,0
1735690800000000,93796.35000000,93866.00000000,93796.35000000,93866.00000000,6.37359000,1735690859999999,597974.92635240,1706,5.86085000,549869.25203640,0
1735690860000000,93866.00000000,93898.05000000,93800.00000000,93800.00000000,19.00035000,1735690919999999,1783398.33495290,4118,9.24907000,868224.21799840,0
